Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.4246039390563965,6.439313729395132,6.3756712403175895,6.407192276873698,493729600
2010-01-05,6.435713291168213,6.4720376647979485,6.401790181206212,6.442317868487011,601904800
2010-01-06,6.333343982696533,6.46122979510523,6.326739406175394,6.435712513903516,552160000
2010-01-07,6.321635723114014,6.364264863379803,6.275705096078485,6.356759662485861,477131200
2010-01-08,6.363663196563721,6.364264013366788,6.276005267512686,6.313229455727773,447610800
2010-01-11,6.307526588439941,6.394284298208381,6.257692860547633,6.388280138025751,462229600
2010-01-12,6.235777854919434,6.297319696934829,6.196752015047131,6.279907231093502,594459600
2010-01-13,6.3237385749816895,6.332144401838027,6.127107478718295,6.240283528305532,605892000
2010-01-14,6.287114143371582,6.318035175859038,6.274806012481778,6.307528293510942,432894000
2010-01-15,6.182043075561523,6.352257437794797,6.180241827206606,6.332143497831549,594067600
2010-01-19,6.45552396774292,6.460027087069968,6.221367774911754,6.25408923958657,730007600
2010-01-20,6.356158256530762,6.470834494605224,6.289213081639465,6.45162158533222,612152800
2010-01-21,6.246285915374756,6.403591739915323,6.2204688225918865,6.366667349187989,608154400
2010-01-22,5.936478137969971,6.229174164262463,5.918766665167428,6.207559986925345,881767600
2010-01-25,6.096185684204102,6.145117995477656,6.009727765674213,6.079374433401396,1065699600
2010-01-26,6.182343482971191,6.415599941900661,6.08147597671428,6.182643691040025,1867110000
2010-01-27,6.2405829429626465,6.321636720535007,5.989914404108162,6.209661911212719,1722568400
2010-01-28,5.9827094078063965,6.169134606746448,5.964997933719202,6.152023548785045,1173502400
2010-01-29,5.765662670135498,6.070066751926809,5.711326227499761,6.0364442593627325,1245952400
2010-02-01,5.8458170890808105,5.883942707215243,5.742848139801959,5.774969597344578,749876400
2010-02-02,5.879738807678223,5.893548374720965,5.805289232897693,5.881240248385894,698342400
2010-02-03,5.98090934753418,6.010029134607887,5.8365124470915095,5.859027655469509,615328000
2010-02-04,5.7653632164001465,5.955089864062811,5.750953232293537,5.905856553322066,757652000
2010-02-05,5.867732048034668,5.883943283219549,5.729339339339847,5.782775572214502,850306800
2010-02-08,5.827504634857178,5.9403804459120915,5.823902138604233,5.874636492542973,478270800
2010-02-09,5.8896484375,5.928974498811124,5.846419269814302,5.896552823452805,632886800
2010-02-10,5.857522964477539,5.901953338111597,5.831705883652675,5.880638173883406,370361600
2010-02-11,5.964097023010254,5.996519093612496,5.825704309857831,5.850320970675201,550345600
2010-02-12,6.015430450439453,6.053255856972336,5.868932152327783,5.947284436592967,655468800
2010-02-16,6.106093883514404,6.114799518475139,6.0496559574929485,6.062264298144873,543737600
2010-02-17,6.080573081970215,6.133408075625748,6.029838341438298,6.129805580382416,436396800
2010-02-18,6.091982841491699,6.120802415208275,6.0316422222583475,6.052956193462975,422825200
2010-02-19,6.054157257080078,6.100088288575369,6.037346006554253,6.059861611024325,415469600
2010-02-22,6.016631126403809,6.079073190767008,5.979706743184227,6.0742702633635055,390563600
2010-02-23,5.9157633781433105,6.0439493885588895,5.87523650054763,6.0040225261519184,575094800
2010-02-24,6.023836612701416,6.047252036489456,5.939179154033308,5.950887266739102,460566400
2010-02-25,6.064063549041748,6.08988063810001,5.910660852412726,5.925370645128962,665126000
2010-02-26,6.1427154541015625,6.159226493405462,6.064062961609401,6.0754704648775535,507460800
2010-03-01,6.2739033699035645,6.289213174981123,6.167631750978801,6.176637589402962,550093600
2010-03-02,6.2697014808654785,6.329141066270159,6.2363787910694315,6.302122744967484,566546400
2010-03-03,6.284108638763428,6.300319867840589,6.242381337533737,6.27240133049772,372052800
2010-03-04,6.32553768157959,6.331842049586998,6.263095619941465,6.282609540776144,366041200
2010-03-05,6.572904586791992,6.5954197884849295,6.443217522047294,6.4525239710825835,899620400
2010-03-08,6.576806545257568,6.607126350756229,6.551889682123633,6.604725087573212,429889600
2010-03-09,6.69508695602417,6.754526547875784,6.541083830574317,6.553692168116807,920259200
2010-03-10,6.749720573425293,6.768933881482162,6.700488074776234,6.719400774083047,596218000
2010-03-11,6.769535541534424,6.769535541534424,6.704092195246633,6.721804468964327,405700400
2010-03-12,6.802557945251465,6.836480247714871,6.777040665387222,6.825672759428564,416323600
2010-03-15,6.719703674316406,6.769536207996319,6.611930985313382,6.765934512915946,493502800
2010-03-16,6.73801326751709,6.75392388839134,6.67977452723418,6.72990805350764,446908000
2010-03-17,6.7281084060668945,6.798054872472256,6.702591525332249,6.751523830607335,450956800
2010-03-18,6.7440185546875,6.754525434105099,6.682777323785952,6.727506713515324,342109600
2010-03-19,6.671970367431641,6.761730559095539,6.641349550973446,6.748221599347028,559445600
2010-03-22,6.747020721435547,6.784546321925031,6.60892824314106,6.618534899474179,456419600
2010-03-23,6.855393886566162,6.868002624620177,6.7275076626034656,6.773738900511225,602431200
2010-03-24,6.885715484619141,6.910632355434153,6.8298775811513135,6.833780687157757,597780400
2010-03-25,6.804059028625488,6.933746491656171,6.792050707523507,6.932245050706638,542284400
2010-03-26,6.931646347045898,6.963166991644838,6.861098653737633,6.873106976417425,640875200
2010-03-29,6.976376056671143,7.02080605349527,6.9532612355899746,6.9946891514378935,540744400
2010-03-30,7.080244064331055,7.129177572447662,7.032211581116944,7.102759265786933,527310000
2010-03-31,7.054727554321289,7.1030606516648005,7.038517120538815,7.0694381502238794,430659600
2010-04-01,7.083845138549805,7.166700133390217,6.987180577090949,7.127074284601517,603145200
2010-04-05,7.1594977378845215,7.160098153974916,7.0478227499419175,7.054127519702874,684507600
2010-04-06,7.191018104553223,7.212031862945418,7.114766875743274,7.150791034146679,447017200
2010-04-07,7.222840785980225,7.262467448259306,7.164601223989251,7.1913193405057845,628502000
2010-04-08,7.20332670211792,7.251058574835145,7.14598817276622,7.218036494277686,572989200
2010-04-09,7.258564472198486,7.2615673544744235,7.218638001958876,7.247757783474007,334182800
2010-04-12,7.27357292175293,7.296988342927458,7.259162938492631,7.270870649079895,333026400
2010-04-13,7.277775287628174,7.288883384260014,7.238148633893474,7.260664634340549,306210800
2010-04-14,7.375642776489258,7.379245273058885,7.327010676046553,7.363334647354848,404076400
2010-04-15,7.47260856628418,7.475910454257223,7.370239618011878,7.378344835126576,376784800
2010-04-16,7.426974773406982,7.539250142359345,7.341417511317267,7.462097901285376,750545600
2010-04-19,7.417068004608154,7.4416842539797345,7.257961003451434,7.4158671728523045,566924400
2010-04-20,7.3426194190979,7.4825131384552055,7.293686718284731,7.461198771594333,738326400
2010-04-21,7.781815528869629,7.81273655886562,7.677044917861515,7.769206790093621,982391200
2010-04-22,7.999463081359863,8.007868909222946,7.691156137470361,7.752397795991813,793424800
2010-04-23,8.130345344543457,8.170872214421923,8.015368508032093,8.045087891960296,796955600
2010-04-26,8.090423583984375,8.179282781810125,8.051096721440434,8.161871512635164,479068800
2010-04-27,7.8664727210998535,8.040589411734624,7.820842692949891,8.023477950772447,709343600
2010-04-28,7.8532633781433105,7.925310908518591,7.697459000479728,7.902796506189628,758402400
2010-04-29,8.06460189819336,8.105428575654393,7.865568438671558,7.8958882388209535,558840800
2010-04-30,7.837954521179199,8.122544599932239,7.835253048952805,8.084719179019885,542463600
2010-05-03,7.995854377746582,8.041785786394117,7.891684238782944,7.920504197659278,454342000
2010-05-04,7.7656049728393555,7.903998097736744,7.7076668150721765,7.891990575665869,723819600
2010-05-05,7.684847831726074,7.749391342538895,7.46690165626653,7.595988677892173,883103200
2010-05-06,7.3924560546875,7.752696973101714,5.981509585079872,7.620008193401915,1285860800
2010-05-07,7.080543041229248,7.402058990107624,6.760829141944542,7.316201908399266,1676018400
2010-05-10,7.624809265136719,7.644622996847167,7.460899674559441,7.512534658605443,984306400
2010-05-11,7.700761795043945,7.801929108149553,7.520040546454128,7.560266824268067,848906800
2010-05-12,7.867970943450928,7.899191771589133,7.766203244429142,7.782412872020039,654379600
2010-05-13,7.755995273590088,7.955328538438961,7.697155318256454,7.901892326091172,599712400
2010-05-14,7.619706630706787,7.69956037567163,7.490019948375691,7.659933711265195,759362800
2010-05-17,7.631714820861816,7.690554801106819,7.436283775728235,7.6461248082582305,762834800
2010-05-18,7.575876712799072,7.7617010748910085,7.512833827969435,7.714569616501831,782678400
2010-05-19,7.455196857452393,7.59268895426401,7.350427041183521,7.49002019378403,1025726800
2010-05-20,7.137583255767822,7.320405533626535,7.091051412815749,7.261264953654578,1282915200
2010-05-21,7.27447509765625,7.339918845405901,6.9451537002479515,6.989283078530614,1223891200
2010-05-24,7.40776252746582,7.532046232307671,7.392752929365596,7.4233733431784765,754238800
2010-05-25,7.3615312576293945,7.4077616802441,7.119569253120672,7.185312792332751,1048006400
2010-05-26,7.328212261199951,7.568974356602844,7.3174047691984,7.507432896251927,850654000
2010-05-27,7.605595588684082,7.621806821242094,7.478310598796752,7.523040389901165,666282400
2010-05-28,7.711566925048828,7.7872177395501625,7.605595502658518,7.786917932354983,815614800
2010-06-01,7.830146312713623,7.983548997552722,7.774008617632067,7.79592340141244,876472800
2010-06-02,7.9238128662109375,7.949329354957322,7.815139125835798,7.941523943536897,688548000
2010-06-03,7.8988938331604,7.971842385130132,7.817538654181004,7.96073428648677,650106800
2010-06-04,7.683947563171387,7.8622662857213905,7.644021106019579,7.751492351647128,758304400
2010-06-07,7.533245086669922,7.779709773255558,7.521536577147388,7.753892694131722,886942000
2010-06-08,7.484915733337402,7.619105918283654,7.374441582164761,7.6022942684509625,1000770400
2010-06-09,7.300890922546387,7.562067069294527,7.279577357268142,7.549157724656313,854630000
